jogador,nacionalidade,posicao,equipe,idade,nascimento,indices
André,br BRA,ZG,Bahia,19.0,2003.0,"{'90s': 1.4, 'Att': 79, 'Em jogo': 65, 'Parado': 14.0, 'FK': 0, 'TB': 0, 'Sw': 0, 'Crz': 9, 'TI': 14, 'CK': 0, 'In': 0, 'Fora': 0, 'Reto': 0, 'Cmp': 63, 'Desativado': 0, 'Bloqueios': 1}"
André,br BRA,LT.ZG,Fluminense,21.0,2001.0,"{'90s': 29.4, 'Att': 2491, 'Em jogo': 2410, 'Parado': 78.0, 'FK': 71, 'TB': 2, 'Sw': 23, 'Crz': 5, 'TI': 7, 'CK': 0, 'In': 0, 'Fora': 0, 'Reto': 0, 'Cmp': 2355, 'Desativado': 3, 'Bloqueios': 15}"
Maurício Antônio,br BRA,ZG,Coritiba,30.0,1992.0,"{'90s': 2.0, 'Att': 95, 'Em jogo': 90, 'Parado': 5.0, 'FK': 4, 'TB': 0, 'Sw': 2, 'Crz': 0, 'TI': 0, 'CK': 0, 'In': 0, 'Fora': 0, 'Reto': 0, 'Cmp': 77, 'Desativado': 0, 'Bloqueios': 2}"
Apodi,br BRA,AT.LT,Goiás,36.0,1986.0,"{'90s': 4.2, 'Att': 58, 'Em jogo': 52, 'Parado': 6.0, 'FK': 0, 'TB': 0, 'Sw': 0, 'Crz': 6, 'TI': 3, 'CK': 0, 'In': 0, 'Fora': 0, 'Reto': 0, 'Cmp': 35, 'Desativado': 0, 'Bloqueios': 3}"
Guilherme Arana,br BRA,ZG,Atlético Mineiro,25.0,1997.0,"{'90s': 26.5, 'Att': 1706, 'Em jogo': 1435, 'Parado': 260.0, 'FK': 25, 'TB': 2, 'Sw': 5, 'Crz': 100, 'TI': 228, 'CK': 7, 'In': 1, 'Fora': 5, 'Reto': 0, 'Cmp': 1361, 'Desativado': 11, 'Bloqueios': 47}"
Charles Aránguiz,cl CHI,LT,Internacional,33.0,1989.0,"{'90s': 14.1, 'Att': 953, 'Em jogo': 911, 'Parado': 37.0, 'FK': 20, 'TB': 1, 'Sw': 2, 'Crz': 7, 'TI': 1, 'CK': 0, 'In': 0, 'Fora': 0, 'Reto': 0, 'Cmp': 823, 'Desativado': 5, 'Bloqueios': 18}"
João Araújo,br BRA,LT,Grêmio,17.0,2005.0,"{'90s': 0.1, 'Att': 5, 'Em jogo': 5, 'Parado': 0.0, 'FK': 0, 'TB': 0, 'Sw': 0, 'Crz': 0, 'TI': 0, 'CK': 0, 'In': 0, 'Fora': 0, 'Reto': 0, 'Cmp': 5, 'Desativado': 0, 'Bloqueios': 0}"
Luiz Araújo,br BRA,AT.LT,Flamengo,26.0,1996.0,"{'90s': 8.7, 'Att': 388, 'Em jogo': 356, 'Parado': 31.0, 'FK': 4, 'TB': 1, 'Sw': 11, 'Crz': 37, 'TI': 8, 'CK': 19, 'In': 10, 'Fora': 4, 'Reto': 0, 'Cmp': 291, 'Desativado': 1, 'Bloqueios': 15}"
Matheus Araújo,br BRA,LT.AT,Corinthians,20.0,2002.0,"{'90s': 6.5, 'Att': 325, 'Em jogo': 310, 'Parado': 13.0, 'FK': 10, 'TB': 0, 'Sw': 1, 'Crz': 13, 'TI': 1, 'CK': 1, 'In': 1, 'Fora': 0, 'Reto': 0, 'Cmp': 272, 'Desativado': 2, 'Bloqueios': 4}"
Michel Araujo,uy URU,AT.LT,São Paulo,26.0,1996.0,"{'90s': 19.6, 'Att': 981, 'Em jogo': 913, 'Parado': 65.0, 'FK': 16, 'TB': 4, 'Sw': 8, 'Crz': 61, 'TI': 19, 'CK': 28, 'In': 10, 'Fora': 15, 'Reto': 0, 'Cmp': 805, 'Desativado': 3, 'Bloqueios': 22}"
Robert Arboleda,ec ECU,ZG,São Paulo,31.0,1991.0,"{'90s': 19.1, 'Att': 1241, 'Em jogo': 1201, 'Parado': 38.0, 'FK': 30, 'TB': 0, 'Sw': 5, 'Crz': 0, 'TI': 0, 'CK': 0, 'In': 0, 'Fora': 0, 'Reto': 0, 'Cmp': 1105, 'Desativado': 2, 'Bloqueios': 5}"
Jhon Arias,co COL,AT.LT,Fluminense,25.0,1997.0,"{'90s': 26.5, 'Att': 1561, 'Em jogo': 1422, 'Parado': 130.0, 'FK': 30, 'TB': 2, 'Sw': 2, 'Crz': 158, 'TI': 30, 'CK': 70, 'In': 25, 'Fora': 19, 'Reto': 0, 'Cmp': 1233, 'Desativado': 9, 'Bloqueios': 53}"
Luciano Arriagada,cl CHI,AT.LT,Ath Paranaense,20.0,2002.0,"{'90s': 2.1, 'Att': 51, 'Em jogo': 49, 'Parado': 2.0, 'FK': 0, 'TB': 0, 'Sw': 0, 'Crz': 1, 'TI': 0, 'CK': 0, 'In': 0, 'Fora': 0, 'Reto': 0, 'Cmp': 39, 'Desativado': 0, 'Bloqueios': 2}"
Arthur,br BRA,AT.LT,Cruzeiro,24.0,1998.0,"{'90s': 15.0, 'Att': 431, 'Em jogo': 422, 'Parado': 8.0, 'FK': 1, 'TB': 1, 'Sw': 2, 'Crz': 29, 'TI': 4, 'CK': 2, 'In': 1, 'Fora': 0, 'Reto': 0, 'Cmp': 323, 'Desativado': 1, 'Bloqueios': 14}"
Arthur,br BRA,ZG,América (MG),19.0,2003.0,"{'90s': 1.0, 'Att': 55, 'Em jogo': 42, 'Parado': 13.0, 'FK': 2, 'TB': 0, 'Sw': 0, 'Crz': 3, 'TI': 11, 'CK': 0, 'In': 0, 'Fora': 0, 'Reto': 0, 'Cmp': 38, 'Desativado': 0, 'Bloqueios': 2}"
Arthur,br BRA,ZG.AT,Fluminense,18.0,2004.0,"{'90s': 0.2, 'Att': 19, 'Em jogo': 18, 'Parado': 1.0, 'FK': 1, 'TB': 0, 'Sw': 0, 'Crz': 1, 'TI': 0, 'CK': 0, 'In': 0, 'Fora': 0, 'Reto': 0, 'Cmp': 16, 'Desativado': 0, 'Bloqueios': 1}"
Artur,br BRA,AT,Palmeiras,24.0,1998.0,"{'90s': 21.1, 'Att': 820, 'Em jogo': 766, 'Parado': 49.0, 'FK': 11, 'TB': 3, 'Sw': 4, 'Crz': 81, 'TI': 13, 'CK': 25, 'In': 14, 'Fora': 2, 'Reto': 0, 'Cmp': 604, 'Desativado': 5, 'Bloqueios': 29}"
Eduard Atuesta,co COL,LT,Palmeiras,25.0,1997.0,"{'90s': 0.1, 'Att': 2, 'Em jogo': 2, 'Parado': 0.0, 'FK': 0, 'TB': 0, 'Sw': 0, 'Crz': 0, 'TI': 0, 'CK': 0, 'In': 0, 'Fora': 0, 'Reto': 0, 'Cmp': 2, 'Desativado': 0, 'Bloqueios': 0}"
Felipe Augusto,br BRA,AT.LT,Corinthians,18.0,2004.0,"{'90s': 3.6, 'Att': 56, 'Em jogo': 48, 'Parado': 8.0, 'FK': 0, 'TB': 0, 'Sw': 0, 'Crz': 1, 'TI': 0, 'CK': 0, 'In': 0, 'Fora': 0, 'Reto': 0, 'Cmp': 35, 'Desativado': 0, 'Bloqueios': 1}"
Filipe Augusto,br BRA,LT,Cuiabá,29.0,1993.0,"{'90s': 11.8, 'Att': 799, 'Em jogo': 747, 'Parado': 50.0, 'FK': 27, 'TB': 1, 'Sw': 10, 'Crz': 35, 'TI': 0, 'CK': 23, 'In': 9, 'Fora': 9, 'Reto': 0, 'Cmp': 696, 'Desativado': 2, 'Bloqueios': 5}"
Renato Augusto,br BRA,LT,Corinthians,34.0,1988.0,"{'90s': 14.2, 'Att': 757, 'Em jogo': 679, 'Parado': 72.0, 'FK': 21, 'TB': 4, 'Sw': 11, 'Crz': 57, 'TI': 6, 'CK': 30, 'In': 14, 'Fora': 15, 'Reto': 0, 'Cmp': 618, 'Desativado': 6, 'Bloqueios': 11}"
Danilo Avelar,br BRA,ZG,América (MG),33.0,1989.0,"{'90s': 22.0, 'Att': 890, 'Em jogo': 777, 'Parado': 107.0, 'FK': 23, 'TB': 1, 'Sw': 4, 'Crz': 19, 'TI': 83, 'CK': 0, 'In': 0, 'Fora': 0, 'Reto': 0, 'Cmp': 613, 'Desativado': 6, 'Bloqueios': 15}"
Felipe Azevedo,br BRA,AT.LT,América (MG),36.0,1987.0,"{'90s': 19.4, 'Att': 497, 'Em jogo': 472, 'Parado': 22.0, 'FK': 6, 'TB': 0, 'Sw': 5, 'Crz': 29, 'TI': 6, 'CK': 9, 'In': 3, 'Fora': 1, 'Reto': 0, 'Cmp': 325, 'Desativado': 3, 'Bloqueios': 21}"
Matheus Babi,br BRA,AT,Goiás,25.0,1997.0,"{'90s': 9.8, 'Att': 177, 'Em jogo': 157, 'Parado': 20.0, 'FK': 0, 'TB': 0, 'Sw': 3, 'Crz': 1, 'TI': 0, 'CK': 0, 'In': 0, 'Fora': 0, 'Reto': 0, 'Cmp': 124, 'Desativado': 0, 'Bloqueios': 6}"
Matheus Bahia,br BRA,ZG.LT,Bahia,23.0,1999.0,"{'90s': 5.5, 'Att': 269, 'Em jogo': 216, 'Parado': 52.0, 'FK': 3, 'TB': 1, 'Sw': 2, 'Crz': 19, 'TI': 48, 'CK': 1, 'In': 0, 'Fora': 0, 'Reto': 0, 'Cmp': 187, 'Desativado': 1, 'Bloqueios': 9}"
Fabián Balbuena,py PAR,ZG,Corinthians,31.0,1991.0,"{'90s': 1.0, 'Att': 60, 'Em jogo': 52, 'Parado': 8.0, 'FK': 6, 'TB': 0, 'Sw': 0, 'Crz': 0, 'TI': 0, 'CK': 0, 'In': 0, 'Fora': 0, 'Reto': 0, 'Cmp': 48, 'Desativado': 0, 'Bloqueios': 0}"
Robson Bambu,br BRA,ZG,Vasco da Gama,25.0,1997.0,"{'90s': 14.2, 'Att': 696, 'Em jogo': 616, 'Parado': 79.0, 'FK': 26, 'TB': 1, 'Sw': 1, 'Crz': 11, 'TI': 53, 'CK': 0, 'In': 0, 'Fora': 0, 'Reto': 0, 'Cmp': 567, 'Desativado': 1, 'Bloqueios': 15}"
Gabriel Baralhas,br BRA,LT,Internacional,24.0,1998.0,"{'90s': 2.6, 'Att': 143, 'Em jogo': 135, 'Parado': 8.0, 'FK': 7, 'TB': 0, 'Sw': 0, 'Crz': 1, 'TI': 0, 'CK': 0, 'In': 0, 'Fora': 0, 'Reto': 0, 'Cmp': 118, 'Desativado': 0, 'Bloqueios': 2}"
Danilo Barbosa,br BRA,LT.ZG,Botafogo (RJ),26.0,1996.0,"{'90s': 11.2, 'Att': 480, 'Em jogo': 446, 'Parado': 31.0, 'FK': 20, 'TB': 1, 'Sw': 2, 'Crz': 3, 'TI': 11, 'CK': 0, 'In': 0, 'Fora': 0, 'Reto': 0, 'Cmp': 381, 'Desativado': 3, 'Bloqueios': 9}"
Diogo Barbosa,br BRA,ZG,Fluminense,30.0,1992.0,"{'90s': 12.4, 'Att': 721, 'Em jogo': 603, 'Parado': 114.0, 'FK': 6, 'TB': 2, 'Sw': 2, 'Crz': 22, 'TI': 106, 'CK': 2, 'In': 1, 'Fora': 0, 'Reto': 0, 'Cmp': 620, 'Desativado': 4, 'Bloqueios': 17}"
Diogo Barbosa,br BRA,ZG,Grêmio,30.0,1992.0,"{'90s': 4.3, 'Att': 210, 'Em jogo': 163, 'Parado': 46.0, 'FK': 5, 'TB': 0, 'Sw': 0, 'Crz': 5, 'TI': 40, 'CK': 1, 'In': 0, 'Fora': 0, 'Reto': 0, 'Cmp': 156, 'Desativado': 1, 'Bloqueios': 6}"
Gabriel Barbosa,br BRA,AT,Flamengo,26.0,1996.0,"{'90s': 17.1, 'Att': 534, 'Em jogo': 456, 'Parado': 75.0, 'FK': 8, 'TB': 1, 'Sw': 6, 'Crz': 25, 'TI': 8, 'CK': 26, 'In': 8, 'Fora': 2, 'Reto': 1, 'Cmp': 428, 'Desativado': 3, 'Bloqueios': 12}"
Lucas Barbosa,br BRA,AT.LT,Santos,21.0,2001.0,"{'90s': 1.1, 'Att': 40, 'Em jogo': 40, 'Parado': 0.0, 'FK': 0, 'TB': 0, 'Sw': 1, 'Crz': 2, 'TI': 0, 'CK': 0, 'In': 0, 'Fora': 0, 'Reto': 0, 'Cmp': 16, 'Desativado': 0, 'Bloqueios': 0}"
Lucas Barbosa,br BRA,LT.AT,Coritiba,21.0,2001.0,"{'90s': 1.1, 'Att': 46, 'Em jogo': 43, 'Parado': 3.0, 'FK': 2, 'TB': 0, 'Sw': 0, 'Crz': 1, 'TI': 1, 'CK': 0, 'In': 0, 'Fora': 0, 'Reto': 0, 'Cmp': 34, 'Desativado': 0, 'Bloqueios': 2}"
Chrystian Barletta,br BRA,LT,Corinthians,21.0,2001.0,"{'90s': 1.4, 'Att': None, 'Em jogo': None, 'Parado': None, 'FK': None, 'TB': None, 'Sw': None, 'Crz': 2, 'TI': None, 'CK': None, 'In': None, 'Fora': None, 'Reto': None, 'Cmp': None, 'Desativado': None, 'Bloqueios': None}"
Cauan Barros,br BRA,LT,Vasco da Gama,18.0,2004.0,"{'90s': 2.6, 'Att': 83, 'Em jogo': 80, 'Parado': 3.0, 'FK': 2, 'TB': 0, 'Sw': 0, 'Crz': 1, 'TI': 0, 'CK': 0, 'In': 0, 'Fora': 0, 'Reto': 0, 'Cmp': 72, 'Desativado': 0, 'Bloqueios': 0}"
Gabriel Barros,br BRA,AT.LT,Internacional,21.0,2001.0,"{'90s': 2.0, 'Att': 78, 'Em jogo': 78, 'Parado': 0.0, 'FK': 0, 'TB': 0, 'Sw': 0, 'Crz': 3, 'TI': 0, 'CK': 0, 'In': 0, 'Fora': 0, 'Reto': 0, 'Cmp': 68, 'Desativado': 0, 'Bloqueios': 2}"
Bastos,ao ANG,ZG,Botafogo (RJ),31.0,1991.0,"{'90s': 1.3, 'Att': 71, 'Em jogo': 68, 'Parado': 3.0, 'FK': 2, 'TB': 0, 'Sw': 0, 'Crz': 1, 'TI': 1, 'CK': 0, 'In': 0, 'Fora': 0, 'Reto': 0, 'Cmp': 62, 'Desativado': 0, 'Bloqueios': 1}"
Fellipe Bastos,br BRA,LT,Goiás,32.0,1990.0,"{'90s': 0.4, 'Att': 14, 'Em jogo': 10, 'Parado': 4.0, 'FK': 4, 'TB': 0, 'Sw': 0, 'Crz': 2, 'TI': 0, 'CK': 0, 'In': 0, 'Fora': 0, 'Reto': 0, 'Cmp': 12, 'Desativado': 0, 'Bloqueios': 0}"
Diogo Batista,br BRA,ZG.LT,Coritiba,19.0,2003.0,"{'90s': 5.9, 'Att': 277, 'Em jogo': 222, 'Parado': 54.0, 'FK': 8, 'TB': 0, 'Sw': 3, 'Crz': 14, 'TI': 44, 'CK': 2, 'In': 1, 'Fora': 1, 'Reto': 0, 'Cmp': 201, 'Desativado': 1, 'Bloqueios': 6}"
Rodrigo Battaglia,ar ARG,LT,Atlético Mineiro,31.0,1991.0,"{'90s': 19.2, 'Att': 976, 'Em jogo': 920, 'Parado': 54.0, 'FK': 52, 'TB': 0, 'Sw': 5, 'Crz': 7, 'TI': 1, 'CK': 0, 'In': 0, 'Fora': 0, 'Reto': 0, 'Cmp': 853, 'Desativado': 2, 'Bloqueios': 12}"
José Luis Rodríguez Bebanz,uy URU,ZG,Vasco da Gama,25.0,1997.0,"{'90s': 22.2, 'Att': 1199, 'Em jogo': 905, 'Parado': 289.0, 'FK': 47, 'TB': 0, 'Sw': 11, 'Crz': 140, 'TI': 216, 'CK': 26, 'In': 18, 'Fora': 4, 'Reto': 0, 'Cmp': 801, 'Desativado': 5, 'Bloqueios': 32}"
Matheus Belém,br BRA,ZG,São Paulo,19.0,2003.0,"{'90s': 1.9, 'Att': 89, 'Em jogo': 87, 'Parado': 2.0, 'FK': 2, 'TB': 0, 'Sw': 0, 'Crz': 1, 'TI': 0, 'CK': 0, 'In': 0, 'Fora': 0, 'Reto': 0, 'Cmp': 73, 'Desativado': 0, 'Bloqueios': 1}"
Lucas Belezi,br BRA,ZG,Ath Paranaense,19.0,2003.0,"{'90s': 0.5, 'Att': 20, 'Em jogo': 19, 'Parado': 1.0, 'FK': 1, 'TB': 0, 'Sw': 0, 'Crz': 1, 'TI': 0, 'CK': 0, 'In': 0, 'Fora': 0, 'Reto': 0, 'Cmp': 15, 'Desativado': 0, 'Bloqueios': 0}"
Ramiro Benetti,br BRA,LT,Cruzeiro,29.0,1993.0,"{'90s': 4.5, 'Att': 250, 'Em jogo': 241, 'Parado': 9.0, 'FK': 3, 'TB': 0, 'Sw': 2, 'Crz': 4, 'TI': 5, 'CK': 0, 'In': 0, 'Fora': 0, 'Reto': 0, 'Cmp': 211, 'Desativado': 0, 'Bloqueios': 6}"
Martín Benítez,ar ARG,LT.AT,América (MG),28.0,1994.0,"{'90s': 12.4, 'Att': 561, 'Em jogo': 470, 'Parado': 88.0, 'FK': 41, 'TB': 7, 'Sw': 11, 'Crz': 51, 'TI': 7, 'CK': 32, 'In': 9, 'Fora': 17, 'Reto': 1, 'Cmp': 386, 'Desativado': 3, 'Bloqueios': 13}"
Bento,br BRA,G,Ath Paranaense,23.0,1999.0,"{'90s': 33.0, 'Att': 886, 'Em jogo': 517, 'Parado': 362.0, 'FK': 72, 'TB': 1, 'Sw': 0, 'Crz': 0, 'TI': 0, 'CK': 0, 'In': 0, 'Fora': 0, 'Reto': 0, 'Cmp': 580, 'Desativado': 7, 'Bloqueios': 1}"
Lucas Beraldo,br BRA,ZG,São Paulo,19.0,2003.0,"{'90s': 24.0, 'Att': 1695, 'Em jogo': 1626, 'Parado': 69.0, 'FK': 65, 'TB': 1, 'Sw': 11, 'Crz': 2, 'TI': 4, 'CK': 0, 'In': 0, 'Fora': 0, 'Reto': 0, 'Cmp': 1503, 'Desativado': 0, 'Bloqueios': 10}"
Lucas Besozzi,ar ARG,AT.LT,Grêmio,20.0,2003.0,"{'90s': 4.4, 'Att': 195, 'Em jogo': 193, 'Parado': 0.0, 'FK': 0, 'TB': 2, 'Sw': 0, 'Crz': 12, 'TI': 0, 'CK': 0, 'In': 0, 'Fora': 0, 'Reto': 0, 'Cmp': 149, 'Desativado': 2, 'Bloqueios': 8}"
Matheus Bianqui,br BRA,LT,Coritiba,25.0,1998.0,"{'90s': 15.8, 'Att': 466, 'Em jogo': 448, 'Parado': 17.0, 'FK': 10, 'TB': 2, 'Sw': 9, 'Crz': 9, 'TI': 6, 'CK': 0, 'In': 0, 'Fora': 0, 'Reto': 0, 'Cmp': 329, 'Desativado': 1, 'Bloqueios': 18}"
Raul Bicalho,br BRA,ZG,Bahia,23.0,1999.0,"{'90s': 3.6, 'Att': 197, 'Em jogo': 190, 'Parado': 7.0, 'FK': 5, 'TB': 0, 'Sw': 4, 'Crz': 0, 'TI': 2, 'CK': 0, 'In': 0, 'Fora': 0, 'Reto': 0, 'Cmp': 165, 'Desativado': 0, 'Bloqueios': 0}"
Matheus Bidu,br BRA,ZG,Corinthians,23.0,1999.0,"{'90s': 18.4, 'Att': 1129, 'Em jogo': 904, 'Parado': 221.0, 'FK': 37, 'TB': 0, 'Sw': 5, 'Crz': 105, 'TI': 154, 'CK': 30, 'In': 3, 'Fora': 27, 'Reto': 0, 'Cmp': 897, 'Desativado': 4, 'Bloqueios': 23}"
Biel,br BRA,AT.LT,Bahia,21.0,2001.0,"{'90s': 15.1, 'Att': 404, 'Em jogo': 355, 'Parado': 49.0, 'FK': 9, 'TB': 5, 'Sw': 4, 'Crz': 51, 'TI': 5, 'CK': 35, 'In': 13, 'Fora': 19, 'Reto': 0, 'Cmp': 292, 'Desativado': 0, 'Bloqueios': 10}"
Rafael Bilu,br BRA,AT,Cruzeiro,23.0,1999.0,"{'90s': 1.0, 'Att': 36, 'Em jogo': 35, 'Parado': 0.0, 'FK': 0, 'TB': 0, 'Sw': 1, 'Crz': 1, 'TI': 0, 'CK': 0, 'In': 0, 'Fora': 0, 'Reto': 0, 'Cmp': 29, 'Desativado': 1, 'Bloqueios': 2}"
Guilherme Biro,br BRA,AT.LT,Corinthians,18.0,2004.0,"{'90s': 6.4, 'Att': 213, 'Em jogo': 212, 'Parado': 1.0, 'FK': 1, 'TB': 0, 'Sw': 0, 'Crz': 13, 'TI': 0, 'CK': 0, 'In': 0, 'Fora': 0, 'Reto': 0, 'Cmp': 172, 'Desativado': 0, 'Bloqueios': 9}"
Bitelo,br BRA,LT.AT,Grêmio,23.0,2000.0,"{'90s': 17.2, 'Att': 819, 'Em jogo': 768, 'Parado': 46.0, 'FK': 21, 'TB': 7, 'Sw': 3, 'Crz': 35, 'TI': 10, 'CK': 15, 'In': 1, 'Fora': 8, 'Reto': 0, 'Cmp': 660, 'Desativado': 5, 'Bloqueios': 18}"
Paulinho Bóia,br BRA,AT,América (MG),24.0,1998.0,"{'90s': 1.5, 'Att': 50, 'Em jogo': 50, 'Parado': 0.0, 'FK': 0, 'TB': 0, 'Sw': 0, 'Crz': 4, 'TI': 0, 'CK': 0, 'In': 0, 'Fora': 0, 'Reto': 0, 'Cmp': 39, 'Desativado': 0, 'Bloqueios': 1}"
Thiago Borbas,uy URU,AT,Red Bull Bragantino,20.0,2002.0,"{'90s': 15.9, 'Att': 353, 'Em jogo': 346, 'Parado': 7.0, 'FK': 1, 'TB': 1, 'Sw': 1, 'Crz': 15, 'TI': 1, 'CK': 0, 'In': 0, 'Fora': 0, 'Reto': 0, 'Cmp': 233, 'Desativado': 0, 'Bloqueios': 9}"
Ângelo Borges,br BRA,AT.LT,Santos,18.0,2004.0,"{'90s': 6.0, 'Att': 172, 'Em jogo': 167, 'Parado': 3.0, 'FK': 0, 'TB': 2, 'Sw': 0, 'Crz': 8, 'TI': 3, 'CK': 0, 'In': 0, 'Fora': 0, 'Reto': 0, 'Cmp': 122, 'Desativado': 2, 'Bloqueios': 8}"
Daniel Borges,br BRA,ZG,América (MG),29.0,1993.0,"{'90s': 8.9, 'Att': 494, 'Em jogo': 407, 'Parado': 87.0, 'FK': 12, 'TB': 0, 'Sw': 8, 'Crz': 44, 'TI': 75, 'CK': 0, 'In': 0, 'Fora': 0, 'Reto': 0, 'Cmp': 381, 'Desativado': 0, 'Bloqueios': 9}"
Daniel Borges,br BRA,ZG,Botafogo (RJ),29.0,1993.0,"{'90s': 0.5, 'Att': 14, 'Em jogo': 12, 'Parado': 2.0, 'FK': 0, 'TB': 0, 'Sw': 0, 'Crz': 2, 'TI': 2, 'CK': 0, 'In': 0, 'Fora': 0, 'Reto': 0, 'Cmp': 10, 'Desativado': 0, 'Bloqueios': 0}"
Marllon Borges,br BRA,ZG,Cuiabá,30.0,1992.0,"{'90s': 36.0, 'Att': 1464, 'Em jogo': 1385, 'Parado': 78.0, 'FK': 76, 'TB': 0, 'Sw': 9, 'Crz': 1, 'TI': 2, 'CK': 0, 'In': 0, 'Fora': 0, 'Reto': 0, 'Cmp': 1265, 'Desativado': 1, 'Bloqueios': 18}"
Pedro Borges,br BRA,LT.AT,Fortaleza,25.0,1997.0,"{'90s': 6.3, 'Att': 259, 'Em jogo': 255, 'Parado': 4.0, 'FK': 4, 'TB': 1, 'Sw': 4, 'Crz': 1, 'TI': 0, 'CK': 0, 'In': 0, 'Fora': 0, 'Reto': 0, 'Cmp': 220, 'Desativado': 0, 'Bloqueios': 1}"
Gabriel Boschilia,br BRA,LT.AT,Coritiba,26.0,1996.0,"{'90s': 3.8, 'Att': 182, 'Em jogo': 162, 'Parado': 19.0, 'FK': 5, 'TB': 2, 'Sw': 3, 'Crz': 15, 'TI': 4, 'CK': 9, 'In': 4, 'Fora': 3, 'Reto': 0, 'Cmp': 145, 'Desativado': 1, 'Bloqueios': 2}"
Lucas Braga,br BRA,ZG.AT,Santos,26.0,1996.0,"{'90s': 22.1, 'Att': 663, 'Em jogo': 517, 'Parado': 144.0, 'FK': 16, 'TB': 1, 'Sw': 1, 'Crz': 39, 'TI': 127, 'CK': 0, 'In': 0, 'Fora': 0, 'Reto': 0, 'Cmp': 518, 'Desativado': 2, 'Bloqueios': 21}"
David Braz,br BRA,ZG,Fluminense,35.0,1987.0,"{'90s': 9.6, 'Att': 651, 'Em jogo': 607, 'Parado': 42.0, 'FK': 31, 'TB': 0, 'Sw': 6, 'Crz': 1, 'TI': 7, 'CK': 0, 'In': 0, 'Fora': 0, 'Reto': 0, 'Cmp': 558, 'Desativado': 2, 'Bloqueios': 2}"
Brenno,br BRA,G,Grêmio,23.0,1999.0,"{'90s': 1.0, 'Att': 19, 'Em jogo': 12, 'Parado': 7.0, 'FK': 4, 'TB': 0, 'Sw': 0, 'Crz': 0, 'TI': 0, 'CK': 0, 'In': 0, 'Fora': 0, 'Reto': 0, 'Cmp': 17, 'Desativado': 0, 'Bloqueios': 0}"
Breno,br BRA,LT,Botafogo (RJ),22.0,2000.0,"{'90s': 0.1, 'Att': 6, 'Em jogo': 6, 'Parado': 0.0, 'FK': 0, 'TB': 0, 'Sw': 0, 'Crz': 0, 'TI': 0, 'CK': 0, 'In': 0, 'Fora': 0, 'Reto': 0, 'Cmp': 4, 'Desativado': 0, 'Bloqueios': 0}"
Breno,br BRA,AT,Palmeiras,27.0,1996.0,"{'90s': 15.2, 'Att': 355, 'Em jogo': 349, 'Parado': 1.0, 'FK': 0, 'TB': 0, 'Sw': 1, 'Crz': 29, 'TI': 1, 'CK': 0, 'In': 0, 'Fora': 0, 'Reto': 0, 'Cmp': 266, 'Desativado': 5, 'Bloqueios': 11}"
Emanuel Brítez,ar ARG,ZG,Fortaleza,30.0,1992.0,"{'90s': 30.7, 'Att': 1350, 'Em jogo': 1250, 'Parado': 96.0, 'FK': 46, 'TB': 0, 'Sw': 7, 'Crz': 11, 'TI': 50, 'CK': 0, 'In': 0, 'Fora': 0, 'Reto': 0, 'Cmp': 1105, 'Desativado': 4, 'Bloqueios': 10}"
Bruninho,br BRA,AT.LT,Red Bull Bragantino,19.0,2003.0,"{'90s': 7.9, 'Att': 302, 'Em jogo': 285, 'Parado': 15.0, 'FK': 3, 'TB': 1, 'Sw': 1, 'Crz': 17, 'TI': 0, 'CK': 11, 'In': 4, 'Fora': 1, 'Reto': 1, 'Cmp': 240, 'Desativado': 2, 'Bloqueios': 8}"
Fabrício Bruno,br BRA,ZG,Flamengo,26.0,1996.0,"{'90s': 34.0, 'Att': 2264, 'Em jogo': 2136, 'Parado': 126.0, 'FK': 98, 'TB': 1, 'Sw': 42, 'Crz': 14, 'TI': 22, 'CK': 0, 'In': 0, 'Fora': 0, 'Reto': 0, 'Cmp': 2017, 'Desativado': 2, 'Bloqueios': 10}"
Vitor Bueno,br BRA,LT.AT,Ath Paranaense,28.0,1994.0,"{'90s': 23.1, 'Att': 1042, 'Em jogo': 907, 'Parado': 130.0, 'FK': 43, 'TB': 12, 'Sw': 10, 'Crz': 146, 'TI': 6, 'CK': 79, 'In': 34, 'Fora': 44, 'Reto': 0, 'Cmp': 769, 'Desativado': 5, 'Bloqueios': 23}"
Esteban Burgos,ar ARG,ZG,América (MG),31.0,1992.0,"{'90s': 3.3, 'Att': 89, 'Em jogo': 80, 'Parado': 9.0, 'FK': 9, 'TB': 0, 'Sw': 2, 'Crz': 0, 'TI': 0, 'CK': 0, 'In': 0, 'Fora': 0, 'Reto': 0, 'Cmp': 67, 'Desativado': 0, 'Bloqueios': 0}"
Fabricio Bustos,ar ARG,ZG,Internacional,26.0,1996.0,"{'90s': 27.8, 'Att': 1721, 'Em jogo': 1438, 'Parado': 278.0, 'FK': 20, 'TB': 0, 'Sw': 2, 'Crz': 56, 'TI': 258, 'CK': 0, 'In': 0, 'Fora': 0, 'Reto': 0, 'Cmp': 1353, 'Desativado': 5, 'Bloqueios': 54}"
Rafael Cabral,br BRA,G,Cruzeiro,32.0,1990.0,"{'90s': 37.0, 'Att': 1221, 'Em jogo': 800, 'Parado': 419.0, 'FK': 121, 'TB': 0, 'Sw': 0, 'Crz': 0, 'TI': 0, 'CK': 0, 'In': 0, 'Fora': 0, 'Reto': 0, 'Cmp': 960, 'Desativado': 2, 'Bloqueios': 0}"
