jogador,nacionalidade,posicao,equipe,idade,nascimento,indices
Allan,br BRA,LT,Flamengo,25.0,1997.0,"{'MP': 9.0, 'Inícios': 4.0, 'Min.': 482.0, '90s': 5.4, 'Gols': 0.0, 'Assis.': 0.0, 'G+A': 0.0, 'G-PB': 0.0, 'PB': 0.0, 'PT': 0.0, 'CrtsA': 1.0, 'CrtV': 0.0, 'xG': 0.1, 'npxG': 0.1, 'xAG': 0.1, 'npxG+xAG': 2.0, 'PrgC': 10.0, 'PrgP': 36.0, 'PrgR': 6.0, 'Gols.1': 0.0, 'Assis..1': 0.0, 'G+A.1': 0.0, 'G-PB.1': 0.0, 'G+A-PB': 0.0, 'xG.1': 2.0, 'xAG.1': 2.0, 'xG+xAG': 5.0, 'npxG.1': 2.0, 'npxG+xAG.1': 5.0}"
Allano,br BRA,AT,Goiás,27.0,1995.0,"{'MP': 19.0, 'Inícios': 15.0, 'Min.': 1.237, '90s': 13.7, 'Gols': 1.0, 'Assis.': 0.0, 'G+A': 1.0, 'G-PB': 1.0, 'PB': 0.0, 'PT': 0.0, 'CrtsA': 5.0, 'CrtV': 0.0, 'xG': 2.1, 'npxG': 2.1, 'xAG': 0.8, 'npxG+xAG': 29.0, 'PrgC': 39.0, 'PrgP': 55.0, 'PrgR': 90.0, 'Gols.1': 7.0, 'Assis..1': 0.0, 'G+A.1': 7.0, 'G-PB.1': 7.0, 'G+A-PB': 7.0, 'xG.1': 15.0, 'xAG.1': 6.0, 'xG+xAG': 21.0, 'npxG.1': 15.0, 'npxG+xAG.1': 21.0}"
Henrique Almeida,br BRA,AT,América (MG),31.0,1991.0,"{'MP': 4.0, 'Inícios': 2.0, 'Min.': 156.0, '90s': 1.7, 'Gols': 0.0, 'Assis.': 0.0, 'G+A': 0.0, 'G-PB': 0.0, 'PB': 0.0, 'PT': 0.0, 'CrtsA': 0.0, 'CrtV': 0.0, 'xG': 0.4, 'npxG': 0.4, 'xAG': 0.3, 'npxG+xAG': 7.0, 'PrgC': 1.0, 'PrgP': 3.0, 'PrgR': 5.0, 'Gols.1': 0.0, 'Assis..1': 0.0, 'G+A.1': 0.0, 'G-PB.1': 0.0, 'G+A-PB': 0.0, 'xG.1': 22.0, 'xAG.1': 20.0, 'xG+xAG': 42.0, 'npxG.1': 22.0, 'npxG+xAG.1': 42.0}"
Rodrigo Alves,br BRA,LT,Vasco da Gama,20.0,2002.0,"{'MP': 8.0, 'Inícios': 4.0, 'Min.': 352.0, '90s': 3.9, 'Gols': 0.0, 'Assis.': 0.0, 'G+A': 0.0, 'G-PB': 0.0, 'PB': 0.0, 'PT': 0.0, 'CrtsA': 1.0, 'CrtV': 0.0, 'xG': 0.0, 'npxG': 0.0, 'xAG': 0.0, 'npxG+xAG': 0.0, 'PrgC': 1.0, 'PrgP': 4.0, 'PrgR': 0.0, 'Gols.1': 0.0, 'Assis..1': 0.0, 'G+A.1': 0.0, 'G-PB.1': 0.0, 'G+A-PB': 0.0, 'xG.1': 0.0, 'xAG.1': 1.0, 'xG+xAG': 1.0, 'npxG.1': 0.0, 'npxG+xAG.1': 1.0}"
Anderson,br BRA,G,Cruzeiro,24.0,1998.0,"{'MP': 1.0, 'Inícios': 1.0, 'Min.': 90.0, '90s': 1.0, 'Gols': 0.0, 'Assis.': 0.0, 'G+A': 0.0, 'G-PB': 0.0, 'PB': 0.0, 'PT': 0.0, 'CrtsA': 2.0, 'CrtV': 1.0, 'xG': 0.0, 'npxG': 0.0, 'xAG': 0.0, 'npxG+xAG': 0.0, 'PrgC': 0.0, 'PrgP': 0.0, 'PrgR': 0.0, 'Gols.1': 0.0, 'Assis..1': 0.0, 'G+A.1': 0.0, 'G-PB.1': 0.0, 'G+A-PB': 0.0, 'xG.1': 0.0, 'xAG.1': 0.0, 'xG+xAG': 0.0, 'npxG.1': 0.0, 'npxG+xAG.1': 0.0}"
Anderson,br BRA,AT.LT,Goiás,24.0,1998.0,"{'MP': 20.0, 'Inícios': 18.0, 'Min.': 1.291, '90s': 14.3, 'Gols': 0.0, 'Assis.': 2.0, 'G+A': 2.0, 'G-PB': 0.0, 'PB': 0.0, 'PT': 0.0, 'CrtsA': 1.0, 'CrtV': 0.0, 'xG': 0.7, 'npxG': 0.7, 'xAG': 1.3, 'npxG+xAG': 20.0, 'PrgC': 44.0, 'PrgP': 39.0, 'PrgR': 106.0, 'Gols.1': 0.0, 'Assis..1': 14.0, 'G+A.1': 14.0, 'G-PB.1': 0.0, 'G+A-PB': 14.0, 'xG.1': 5.0, 'xAG.1': 9.0, 'xG+xAG': 14.0, 'npxG.1': 5.0, 'npxG+xAG.1': 14.0}"
André,br BRA,ZG,Bahia,19.0,2003.0,"{'MP': 3.0, 'Inícios': 1.0, 'Min.': 125.0, '90s': 1.4, 'Gols': 0.0, 'Assis.': 0.0, 'G+A': 0.0, 'G-PB': 0.0, 'PB': 0.0, 'PT': 0.0, 'CrtsA': 1.0, 'CrtV': 0.0, 'xG': 0.0, 'npxG': 0.0, 'xAG': 0.0, 'npxG+xAG': 0.0, 'PrgC': 2.0, 'PrgP': 4.0, 'PrgR': 12.0, 'Gols.1': 0.0, 'Assis..1': 0.0, 'G+A.1': 0.0, 'G-PB.1': 0.0, 'G+A-PB': 0.0, 'xG.1': 0.0, 'xAG.1': 3.0, 'xG+xAG': 3.0, 'npxG.1': 0.0, 'npxG+xAG.1': 3.0}"
André,br BRA,LT.ZG,Fluminense,21.0,2001.0,"{'MP': 31.0, 'Inícios': 29.0, 'Min.': 2.649, '90s': 29.4, 'Gols': 0.0, 'Assis.': 0.0, 'G+A': 0.0, 'G-PB': 0.0, 'PB': 0.0, 'PT': 0.0, 'CrtsA': 11.0, 'CrtV': 1.0, 'xG': 0.4, 'npxG': 0.4, 'xAG': 0.6, 'npxG+xAG': 9.0, 'PrgC': 58.0, 'PrgP': 184.0, 'PrgR': 14.0, 'Gols.1': 0.0, 'Assis..1': 0.0, 'G+A.1': 0.0, 'G-PB.1': 0.0, 'G+A-PB': 0.0, 'xG.1': 1.0, 'xAG.1': 2.0, 'xG+xAG': 3.0, 'npxG.1': 1.0, 'npxG+xAG.1': 3.0}"
Maurício Antônio,br BRA,ZG,Coritiba,30.0,1992.0,"{'MP': 3.0, 'Inícios': 1.0, 'Min.': 180.0, '90s': 2.0, 'Gols': 0.0, 'Assis.': 0.0, 'G+A': 0.0, 'G-PB': 0.0, 'PB': 0.0, 'PT': 0.0, 'CrtsA': 0.0, 'CrtV': 0.0, 'xG': 0.0, 'npxG': 0.0, 'xAG': 0.0, 'npxG+xAG': 1.0, 'PrgC': 0.0, 'PrgP': 4.0, 'PrgR': 0.0, 'Gols.1': 0.0, 'Assis..1': 0.0, 'G+A.1': 0.0, 'G-PB.1': 0.0, 'G+A-PB': 0.0, 'xG.1': 2.0, 'xAG.1': 1.0, 'xG+xAG': 3.0, 'npxG.1': 2.0, 'npxG+xAG.1': 3.0}"
Apodi,br BRA,AT.LT,Goiás,36.0,1986.0,"{'MP': 13.0, 'Inícios': 2.0, 'Min.': 382.0, '90s': 4.2, 'Gols': 1.0, 'Assis.': 0.0, 'G+A': 1.0, 'G-PB': 1.0, 'PB': 0.0, 'PT': 0.0, 'CrtsA': 3.0, 'CrtV': 0.0, 'xG': 0.8, 'npxG': 0.8, 'xAG': 0.2, 'npxG+xAG': 11.0, 'PrgC': 6.0, 'PrgP': 4.0, 'PrgR': 16.0, 'Gols.1': 24.0, 'Assis..1': 0.0, 'G+A.1': 24.0, 'G-PB.1': 24.0, 'G+A-PB': 24.0, 'xG.1': 20.0, 'xAG.1': 6.0, 'xG+xAG': 25.0, 'npxG.1': 20.0, 'npxG+xAG.1': 25.0}"
