Danilo Barbosa,br BRA,LT.ZG,Botafogo (RJ),26,1996,23,10,1.011,11.2,3,0,3,3,0,0,5,0,1.0,1.0,0.1,1.2,14,54,7,0.27,0.00,0.27,0.27,0.27,0.09,0.01,0.10,0.09,0.10,Partidas
Diogo Barbosa,br BRA,ZG,Fluminense,30,1992,19,10,1.117,12.4,1,2,3,1,0,0,1,0,0.3,0.3,1.3,1.6,35,51,68,0.08,0.16,0.24,0.08,0.24,0.02,0.10,0.13,0.02,0.13,Partidas
Diogo Barbosa,br BRA,ZG,Grêmio,30,1992,6,4,386,4.3,0,0,0,0,0,0,1,0,0.0,0.0,0.2,0.2,8,17,19,0.00,0.00,0.00,0.00,0.00,0.01,0.05,0.06,0.01,0.06,Partidas
Gabriel Barbosa,br BRA,AT,Flamengo,26,1996,26,17,1.540,17.1,5,1,6,1,4,5,7,2,9.5,5.6,1.6,7.1,26,79,112,0.29,0.06,0.35,0.06,0.12,0.56,0.09,0.65,0.33,0.42,Partidas
Lucas Barbosa,br BRA,AT.LT,Santos,21,2001,4,1,103,1.1,0,0,0,0,0,0,0,0,0.3,0.3,0.0,0.3,4,0,4,0.00,0.00,0.00,0.00,0.00,0.25,0.02,0.27,0.25,0.27,Partidas
Lucas Barbosa,br BRA,LT.AT,Coritiba,21,2001,5,0,102,1.1,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.3,1,4,10,0.00,0.00,0.00,0.00,0.00,0.11,0.16,0.27,0.11,0.27,Partidas
Chrystian Barletta,br BRA,LT,Corinthians,21,2001,3,2,127,1.4,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Partidas
Cauan Barros,br BRA,LT,Vasco da Gama,18,2004,8,3,237,2.6,1,0,1,1,0,0,2,0,0.3,0.3,0.1,0.4,0,7,4,0.38,0.00,0.38,0.38,0.38,0.13,0.04,0.17,0.13,0.17,Partidas
Gabriel Barros,br BRA,AT.LT,Internacional,21,2001,5,2,177,2.0,0,1,1,0,0,0,1,0,0.2,0.2,0.5,0.8,4,4,12,0.00,0.51,0.51,0.00,0.51,0.12,0.27,0.38,0.12,0.38,Partidas
Bastos,ao ANG,ZG,Botafogo (RJ),31,1991,4,2,118,1.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03,Partidas
