Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Tempo de jogo,Tempo de jogo,Tempo de jogo,Tempo de jogo,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Esperado,Esperado,Esperado,Esperado,Progressão,Progressão,Progressão,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,Unnamed: 36_level_0
Class.,Jogador,Nação,Pos.,Equipe,Idade,Nascimento,MP,Inícios,Min.,90s,Gols,Assis.,G+A,G-PB,PB,PT,CrtsA,CrtV,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gols,Assis.,G+A,G-PB,G+A-PB,xG,xAG,xG+xAG,npxG,npxG+xAG,Partidas
56,Diogo Barbosa,br BRA,ZG,Fluminense,30,1992,19,10,1117,124,1,2,3,1,0,0,1,0,03,03,13,1.6,35,51,68,0.08,0.16,0.24,0.08,0.24,0.02,0.10,0.13,0.02,0.13,Partidas
57,Diogo Barbosa,br BRA,ZG,Grêmio,30,1992,6,4,386,43,0,0,0,0,0,0,1,0,00,00,02,0.2,8,17,19,0.00,0.00,0.00,0.00,0.00,0.01,0.05,0.06,0.01,0.06,Partidas
58,Gabriel Barbosa,br BRA,AT,Flamengo,26,1996,26,17,1540,171,5,1,6,1,4,5,7,2,95,56,16,7.1,26,79,112,0.29,0.06,0.35,0.06,0.12,0.56,0.09,0.65,0.33,0.42,Partidas
59,Lucas Barbosa,br BRA,"AT,LT",Santos,21,2001,4,1,103,11,0,0,0,0,0,0,0,0,03,03,00,0.3,4,0,4,0.00,0.00,0.00,0.00,0.00,0.25,0.02,0.27,0.25,0.27,Partidas
60,Lucas Barbosa,br BRA,"LT,AT",Coritiba,21,2001,5,0,102,11,0,0,0,0,0,0,0,0,01,01,02,0.3,1,4,10,0.00,0.00,0.00,0.00,0.00,0.11,0.16,0.27,0.11,0.27,Partidas
61,Chrystian Barletta,br BRA,LT,Corinthians,21,2001,3,2,127,14,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Partidas
62,Cauan Barros,br BRA,LT,Vasco da Gama,18,2004,8,3,237,26,1,0,1,1,0,0,2,0,03,03,01,0.4,0,7,4,0.38,0.00,0.38,0.38,0.38,0.13,0.04,0.17,0.13,0.17,Partidas
63,Gabriel Barros,br BRA,"AT,LT",Internacional,21,2001,5,2,177,20,0,1,1,0,0,0,1,0,02,02,05,0.8,4,4,12,0.00,0.51,0.51,0.00,0.51,0.12,0.27,0.38,0.12,0.38,Partidas
64,Bastos,ao ANG,ZG,Botafogo (RJ),31,1991,4,2,118,13,0,0,0,0,0,0,0,0,00,00,00,0.0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03,Partidas
65,Fellipe Bastos,br BRA,LT,Goiás,32,1990,1,0,36,04,0,0,0,0,0,0,1,0,00,00,00,0.0,1,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidas
66,Diogo Batista,br BRA,"ZG,LT",Coritiba,19,2003,11,5,531,59,0,1,1,0,0,0,1,0,02,02,06,0.8,8,21,13,0.00,0.17,0.17,0.00,0.17,0.03,0.11,0.14,0.03,0.14,Partidas
